,establishment,establishment_code
276,"global resource for outsourced workers,inc.",2513
277,stream global services,5854
280,on semiconductor,4342
282,globe telecom,2526
283,ekonek pilipinas,1917
285,"corporate executive search, inc.",1431
286,associate broadcasting company (tv5),611
287,ink bright trading,3014
290,"banana leaf curry house, inc.",744
292,cinderella marketing corporation (phils.),1203
294,wells fargo,6717
295,51talk china,46
296,teletech,6087
297,convergys philippines,1416
300,etelecare global solutions,2108
301,arrow visions integrated marketing solutions,529
302,manpower international (american express bank),3657
304,citi ,1212
305,"yondu, inc. ",6880
306,rocket search (formerly yondu software labs inc. owned by globe telecom) ,5161
308,psg global solutions ,4905
309,24/7 customer philippines inc.,27
312,freelance,2345
316,accenture delivery center in the philippines,140
317,mr donut phils,3980
319,our lady of lourdes hospital ,4418
320,"metro pacific hospital holdings, inc. ",3838
321,"electronic network cash tellers, inc.",1925
326,tsa group - australia,6373
330,kc industrial corporation ,3321
331,"people's television network, inc. ",4536
332,metal industries research & development centre ,3827
334,spi crm,5708
335,jones lang lasalle singapore,3262
337,cb richard ellis,1077
338,philam properties corporation,4599
340,ibm daksh,2863
341,"first oceanic property management, inc",2265
342,yazaki eds manufacturing inc.,6866
343,futaba corporation of the philippines,2409
346,eps,2062
348,tosoh polyvin corporation,6266
352,thomson reuters,6219
355,miriam college,3904
356,jpmorgan chase,3271
359,"market strategic firm, inc",3692
361,"ipams - industrial personnel and management services, inc.",3120
363,hgs - hinduja global solutions,2721
372,hospital of the infant jesus,2789
373,st. barnabas hospital,5743
374,"narrow's nephrology, llc",4042
379,bank of the philippine islands,771
384,quantrics enterprises inc. ,4969
385,jc palomo construction & construction supp. ,3206
388,genpact ,2466
389,premiere medical laboratories p a ,4826
390,"gma network, inc.",2539
393,"networklabs, inc. (a joint venture of nokia siemens networks)",4191
394,philippine electricity market corporation,4647
396,alorica ,361
398,vivid racing,6654
399,kantar ,3310
400,digitalis medical ,1713
401,kenneth & mock ,3327
402,subaru pasig ,5863
405,smarter robotics ,5599
406,mapúa university,3680
407,institut teknologi sepuluh nopember surabaya ,3035
408,zhejiang business technology institute,6911
409,freelancer.com ,2357
410,kumoh national institute of technology,3386
414,zmg ward howell,6915
415,ey/ sgv&co. ,2174
416,a.p. moller - maersk,69
424,riesa property management ,5108
425,philippine professional regulation commission ,4675
427,wonders ,6805
428,teleperformance ,6077
429,zmg ward howell ,6916
430,ams ag ,439
431,asurion ,629
433,"john clements consultants, inc. ",3244
434,harte hanks ,2657
435,q2 hr solutions ,4947
436,ict marketing services (sykes marketing services inc) ,2904
437,etelecare international ,2109
439,startek philippines,5793
440,scrubbed.net global services,5347
442,expert global solutions (now alorica),2161
443,fitness first asia (sportathlon asia sdn bhd),2284
449,"advanced contact solutions, inc.",237
450,metrobank,3845
454,sc innova holdings corp,5324
455,"bluebean optical tech, inc.",907
457,mooboos productions ,3963
459,hudson rpo,2819
460,korn ferry,3370
463,caves treasures manpower & construction corporation,1073
464,"solidpoint manpower and allied services, inc",5663
465,"edata services us, l.l.c.",1898
466,accenture philippines,150
469,jollibee foods corporation ,3255
470,storm technologies ph,5838
475,"exakt, inc.",2141
477,willis towers watson ,6766
478,ingram micro ,3012
479,safeway ,5219
481,mapua institute of technology,3678
484,"arvato financial solutions, global f&a",545
494,"personal collection direct selling, inc.",4563
495,"mang inasal philippines, inc.",3626
497,sun life financial,5888
498,salt and light ventures,5239
499,ett workforce management / prime@ technology specialists,2118
500,huawei technologies,2816
501,nga human resources,4214
502,"summit media (summit publishing co., inc.)",5878
507,cgi,1131
510,88db philippines,54
513,manpowergroup philippines ,3664
514,ag globe services ,266
517,nowcom ,4276
518,solutions resource,5670
519,bureau of soils and water management ,980
521,"thinknoel, llc ",6215
522,systems and experts ,5989
523,up cebu-itc ,6522
525,"ahd advance communication system, inc. ",277
526,eagle broadcasting corporation ,1858
528,arvato financial solutions ,544
529,sykes philippines ,5968
532,megaworld corporation,3790
535,crisalix ,1471
536,24-7 intouch,21
540,dolphins erp ,1795
541,suiterus technologies inc. ,5871
544,"lingaro philippines, inc.",3501
545,aida fleet operation (magsaysay maritime corporation),287
547,"infocom technologies inc., ",2969
548,dairy farm group ,1524
560,pccw solutions limited ,4506
567,the bellevue hotels and resorts ,6145
570,excelitas technologies corp. ,2143
573,esscor a ademco security group ,2097
580,rcg information technology,5025
583,ksearch,3382
586,spi global,5711
588,denso ten solutions philippines corporation,1620
590,selula hayagham corporation,5383
591,philippine department of trade and industry,4641
593,wmeducation ,6791
594,golden mv holdings ,2563
595,santisima trinidad parish pastoral council ,5295
596,united teleplan corporation ,6461
601,ups ,6545
603,connectquote senior,1398
604,t-mobile ,5998
606,esme philippines ,2092
607,kfc ,3336
609,iss | institutional shareholder services ,3156
614,ingenious mobile business inc.,3010
615,alc group of companies,326
616,asturias hotel - palawan / renaissance corporation,627
617,metropolitan bank & trust company,3855
626,"businesstrends, a kelly services company",991
628,aegis people support,249
631,meralco ,3807
634,san-yang intertade corporation ,5282
637,wipro digital operations and platforms,6780
644,radix systems services corporation,4991
645,microsoft innovation center ,3881
647,manila doctors hospital ,3636
650,sun life ,5887
652,rbc-mdc corporation ,5016
654,prosource pty. ltd.,4886
656,cat security group ,1070
657,trainovate™ ,6309
658,"tcs manpower services, inc.",6037
659,haward technology middle east,2663
660,"avanza, inc.",684
661,south perk internet and gaming,5684
662,bastion payment systems,789
663,philexim,4605
664,university of the philippines at los baños,6501
666,aig - accenture ,296
667,aig ,295
668,p3ople4u,4430
669,itcan pte ltd. / it business solutions sdn bhd,3174
670,eps malaysia,2063
671,alsons aws information systems inc.,374
672,24hrpo,30
677,"tp-link technologies co., ltd",6303
678,"wilcon depot, inc.",6758
679,local water utilities administration,3521
681,the golden legacy financing corporation ,6163
682,philsmile ,4712
686,ernst & young global consulting services ,2083
688,plena healthcare ,4775
691,hewlett packard enterprise ,2708
692,"iyuno philippines, inc.",3184
693,softmedia entertainment solutions,5638
694,"softmedia marketing services, inc.",5639
696,bluehost ,908
697,plantation sports inc. ,4759
698,bureau of customs - import assessment service (ias) ,972
699,livingston research ,3509
701,banana fintech ,743
702,"human resource educators' association of the philippines, inc.",2822
708,shore solutions inc.,5499
710,sti college ,5826
711,icct colleges ,2894
714,orbium | part of accenture wealth management,4398
717,microsoft,3880
720,refinitiv,5055
721,iom - un migration ,3109
726,"proserve multi resources specialists, inc. ",4885
727,prime movers business solutions inc ,4841
731,"vertere global solutions, inc.",6606
732,dccd engineering corporation,1559
737,ameinri overseas employment agency inc. ,412
739,saudia airlines,5318
740,flying v,2301
741,"smart communications, inc.",5584
742,abs-cbn,107
743,xavier school,6842
744,sunrise hill therapeutic community,5906
746,ph global jet express inc. (j&t express) ,4582
747,s&p medical and dental trading inc. ,5208
748,hr gurus pty ltd ,2803
749,ibm ,2859
751,smec ,5607
755,adobo connection,231
756,"the food group (kfc, tokyo tokyo, mister donut)",6159
757,sitel philippines,5534
759,asian technology solutions,593
761,"infinit-o global, limited",2962
763,futureworks! inc.,2410
764,cloud employee,1265
771,talentium inc. (formerly appsource inc.),6020
772,richprime global inc.,5106
773,"jobstreet.com philippines, inc.",3240
774,appsource,486
777,"maxima machineries, inc.",3721
779,western appliances,6735
781,abs-cbn shared service center pte. ltd. - rohq ,120
782,emerson automation solutions ,1946
783,enro batangas city ,2037
788,calvelo engineered systems corporation ,1012
789,[24]7.ai ,58
790,golden cup exim marketing corporation,2561
791,dzxl radyo mo nationwide,1841
799,pressreader ,4828
801,ollopa llc ,4331
803,instant online transport ,3034
804,sinogold trading inc. ,5525
805,kyzen business consultancy compay ,3393
808,bhp ,880
812,kfc philippines ,3338
814,ybm engloo learning center inc.,6867
815,tds global solutions,6040
816,corporate counsels philippines law office,1430
817,vrp medical center,6675
818,social security system,5627
820,table group inc. ,6003
821,finance education center (fedcenter) ,2244
823,sterling,5811
827,"advanced contact solutions, inc. ",238
837,onis global,4361
838,hsbc,2804
839,synchrony,5972
842,elites organization,1932
846,nokia,4244
849,"maynilad water services, inc. ",3736
855,oneaston ,4355
858,cavite state university - silang campus ,1076
860,salinas corporation ,5237
861,dear world,1584
866,"aclt computing, inc. ",186
870,"summit media (summit publishing co., inc.) ",5879
871,university of melbourne ,6483
873,ibex ,2853
875,tpr medical distributor inc. ,6306
876,the medical city clinic ,6179
878,deloitte consulting,1611
879,ing,3004
880,ey,2172
881,anz,464
884,a.p. moller - maersk group,71
886,"freelance software developer ""self employed""",2349
887,indra,2953
888,24/7 international,29
889,mannasoft technology corporation (rhema dept.),3652
890,synthesis innovations inc.,5980
891,optimus web design and development solution,4381
893,telus international philippines,6106
899,gymboree play & music ,2634
900,conduit global ,1392
904,wizardsgroup,6788
911,pontoon solutions ,4806
912,"24-hour hr process outsourcing, inc. ",24
913,teletech holdings inc.,6090
916,"goetu infotech solutions, inc.",2550
919,philippine realty & holdings corporation ,4676
920,"ddt konstract, inc. ",1561
921,de la salle university ,1572
923,"it & business process association of the philippines, inc. ",3162
924,pocket rocket inc.,4787
925,teamasia,6046
941,mapúa university ,3681
942,deltek ,1616
948,western union ,6737
949,lipa medical center ,3504
951,sl agritech corporation ,5546
953,tpg telecom,6304
959,business venture,989
960,macquarie group,3567
961,"chikka asia, inc.",1164
963,ntt data corporation,4282
964,searchers & staffers corporation,5360
966,shangri-la group,5427
970,"vxi global solutions, llc",6681
971,hospicio de san juan de dios ,2787
972,university of the east ,6496
978,cielo talent,1196
980,sanofi ,5292
981,alexander mann solutions ,335
982,ge aviation ,2439
984,"infocredit solutions, inc.",2972
986,shopee ,5492
987,coins.ph ,1324
988,jollibee group of companies ,3258
993,macquarie group ,3568
1004,allsec technologies limited ,358
1005,unitedhealth group ,6464
1006,shopping center management corp. ,5493
1007,"hearts and arrows, inc. ",2688
1008,nutritive snack food corp. ,4294
1009,"republic wooden commodities mfg., corp. ",5083
1010,self-employed ,5382
1012,webfx ,6712
1013,straightarrow-creative process outsourcing ,5840
1014,officite ,4318
1015,premiere computer learning center,4825
1016,"in1go technologies, inc.",2946
1017,zeroone technologies,6909
1018,medexcel global solutions,3758
1020,international committee of the red cross - icrc ,3093
1021,okada manila ,4330
1022,neapolis university pafos,4084
1024,dhl global forwarding ,1685
1025,"banco de oro, universal bank, inc.",750
1027,toshiba information systems corporation,6265
1029,in silence ai ,2945
1030,kda architecture and design studio,3324
1031,ayala land premier ,715
1032,casas+architects ,1065
1034,cambridge university press,1013
1038,course hero ,1445
1039,fetcher,2220
1041,career break,1050
1043,jehoshua christian school ,3210
1044,jrt psychiatric and custodial home-care ,3276
1048,trend micro ,6330
1049,landbank of the philippines ,3429
1051,cloud sherpas,1269
1052,seven seven corporate group,5404
1056,chase technology corporation,1146
1060,ibm business services,2860
1063,actionlabs it services phils. corp ,204
1064,metropolitan manila development authority ,3862
1065,pcworx i.t. solutions ,4512
1071,glimex business consulting inc ,2501
1073,cyclehouse mnl ,1503
1080,xnccc,6852
1082,hino motors philippines ,2739
1083,"tsukiden electronics philippines, inc. ",6378
1086,manpowergroup,3661
1088,"expressions stationery shop, inc.",2171
1090,"11 ftc enterprises, inc. ",11
1091,toyota motor philippines corporation,6292
1094,yondu,6876
1095,software laboratories incorporated,5645
1096,pmti,4777
1097,concepcion durables inc.,1385
1100,"author solutions philippines, inc.",672
1101,xlibris,6851
1106,open access bpo ,4366
1107,taskus ,6029
1109,ncgc energy consultancy and services ,4077
1112,amazon,402
1116,anr unlimited ,456
1120,microslt inc.,3879
1121,phexus,4586
1124,sphererocket va ,5707
1125,acuatico and acuaverde hotel and beach resorts,208
1126,sterling talent solutions,5822
1128,east west banking corporation,1866
1129,university of santo tomas,6488
1131,san beda college,5259
1132,philippine airlines,4610
1138,outsourced,4421
1141,access healthcare services,160
1144,mold parts manufacturing asia inc. ,3942
1146,cwt,1496
1149,champ cargosystems,1134
1158,"corporate executive search, inc. ",1432
1161,consistel ,1402
1163,schneider electric ,5337
1165,mathematics society - bulsu,3712
1166,baytech bpo corporation ,803
1167,public employment service office ,4915
1169,the doniti group of companies,6156
1170,mediafied,3765
1172,freelance at storyteller,2347
1176,techcareers inc.,6054
1177,manpower group inc.,3656
1180,switchtek construction corporation ,5941
1181,instrumented factory automation ,3041
1184,east avenue medical center ,1865
1188,orange and bronze software labs ,4396
1189,user experience society -dlsu,6559
1194,inspiro ,3033
1195,noona business consulting services ,4250
1198,metropolitan bank and trust company,3856
1199,kentucky manufacturing inc,3328
1202,trend micro philippines ,6331
1205,"best practice consumer, inc. (formerly fonenet international, inc.)",867
1206,department of science and technology,1647
1208,hgs - hinduja global solutions ,2722
1211,eclaro,1890
1214,teradata,6116
1216,dairy farm group,1523
1217,drake international philippines,1813
1220,tata consultancy services ,6033
1221,teledirect telecommerce,6075
1224,ingram micro,3011
1231,will-chris metal works,6762
1232,cdc manufacturing corporation,1086
1233,primer group of companies,4845
1237,lophils inc. ,3530
1239,q2 hr solutions,4946
1240,willis towers watson,6765
1241,"abba personnel services, inc.",81
1244,sutherland,5925
1245,genpact,2465
1250,trend micro,6329
1253,ampleon,435
1258,intogreat solutions ,3105
1259,reed elsevier philippines ,5053
1260,manpower for advertising services agency inc. (masa inc.) ,3655
1264,johnson & johnson ,3248
1265,punongbayan & araullo,4923
1266,fluor corporation,2297
1267,"rustan marketing specialists, inc. (rmsi)",5200
1268,ace hardware,173
1270,cloversense technology inc. (cti),1273
1273,teletech philippines ,6093
1275,sutherland ,5926
1277,volkswagen philippines ,6668
1278,national center for mental health ,4049
1280,berkner group ,863
1281,pay philexchange inc. ,4495
1282,philippine batteries incorporated,4620
1287,world citi medical center ,6816
1288,kfc philippines,3337
1291,zuitt - coding bootcamp philippines,6929
1292,rockwell land corporation,5164
1294,discovery suites,1753
1298,smits inc. san miguel corporation,5615
1299,circuit solutions inc,1204
1302,rarejob inc.(株式会社レアジョブ) ,5009
1303,acadsoc ltd ,129
1304,patts student council,4493
1308,deltek,1615
1312,sutherland global services ,5930
1313,expert global solutions/nco ,2164
1315,smec,5606
1317,eteam ,2106
1319,seung jin precision philippines inc ,5402
1320,nezda technologies inc. ,4213
1322,chimes consulting ,1168
1323,ing business shared services b.v. branch ,3008
1327,fernbrook inc.,2218
1328,d. m. consunji inc.,1512
1331,"jiss, inc. instrumentation services ",3227
1333,saint jude catholic school,5224
1334,sunshine learning center,5907
1335,feu advocate,2222
1336,padre gomez elementary school,4446
1337,accenture delivery centers in the philippines ,141
1338,logica,3523
1339,gxs philippines inc,2633
1340,data edge corporation (i.t,1537
1341,2254 kampri bldg,19
1344,fuji xerox document management solutions,2373
1347,hcl technologies ,2671
1348,honeywell ,2780
1350,globe telecom ,2527
1352,zuitt - coding bootcamp,6928
1353,cyzerg ,1510
1354,factset ,2185
1360,appen,482
1362,prompt managers and construction services inc,4876
1365,ultrasonic broadcasting system inc. ,6422
1367,euroland ir ,2122
1368,sevendeal philippines,5408
1376,atos,656
1383,pru life uk,4892
1384,rod and staff recruitment (group),5167
1385,"property company of friends, inc.",4881
1390,"sm prime holdings, inc. ",5564
1391,"integrated micro-electronics, inc. (imi global)",3051
1396,bank of the philippine islands (bpi),773
1397,mango,3627
1398,nebula events,4085
1405,ibm solutions delivery inc,2887
1407,robert walters ,5136
1408,resource solutions ,5091
1409,"epldt, inc. ",2061
1416,"alfamart trading philippines, inc.",336
1417,pbcs,4502
1418,kempal construction,3325
1421,department of public works and highways ,1646
1423,bonpack corporation,922
1426,cw marketing & development corporation,1495
1428,"curo teknika, inc.",1487
1432,city of manila ,1239
1439,"quinn data facilities, inc.",4978
1440,rhine marketing corporation,5105
1441,ipi - procter and gamble shared services,3122
1442,bayview technoligies inc.,804
1443,lbp service corporation,3448
1445,bnext ,911
1446,starbucks philippines ,5786
1447,collabera inc.,1334
1448,db schenker,1551
1453,self-employed,5381
1454,circuit solutions inc.,1205
1456,ama education system,393
1458,radenta technologies inc. ,4988
1460,mcdonald's philippines (golden arches development corporation) ,3748
1462,bestoptions assistance inc,870
1464,jimac incorporated ,3224
1465,bewell nutraceuticals corp ,877
1466,lee systems technology ventures inc.,3455
1467,"colegio de sta. teresa de avila, novaliches, quezon city",1330
1475,aecom,248
1477,"take the lead tutorials, review and training center",6014
1479,sykes philippines,5967
1483,"play innovations, inc. (kidzania manila) ",4763
1485,ciclo suerte corporation ,1195
1486,"infosoft international solutions, inc.",2994
1487,bureau of internal revenue,978
1490,crescendo staffing and business consulting inc. ,1469
1491,stellar philippines ,5809
1493,sgs ,5411
1494,hyatt elevators and escalators corporation,2827
1495,af payments inc.,259
1500,sitel ,5530
1502,pointwest,4792
1505,great deals e-commerce corp. ,2601
1506,vertiv,6609
1515,department of health (philippines) ,1640
1516,"daiichi properties, inc.",1518
1517,purpose driven career management inc.,4934
1518,manpower,3654
1519,lyceum of the philippines university- guidance and testing center,3559
1521,atos ,657
1523,department of agrarian reform,1623
1524,alta resources ,377
1525,24-7 intouch ,22
1529,gocrayons digital inc. ,2547
1530,professional regulation commission ,4869
1533,"qne software philippines, inc. ",4959
1536,symph ,5970
1537,raksquad design and development ,4999
1538,ust - society of information technology enthusiasts,6560
1541,lg electronics ,3477
1546,firstsource,2276
1548,interasia outsource inc. ,3083
1551,hcl technologies,2670
1557,e-business services inc.,1847
1560,emerson,1941
1561,allied banking corporation,353
1562,aig philam savings bank,300
1564,one commerce international corp. ,4345
1566,"fujitsu ten solutions philippines, inc.",2397
1569,bayer business services,799
1576,stream global services ,5855
1577,iforex ,2914
1578,global payments inc. ,2512
1582,quaerito qualitas incorporated,4961
1584,ever bilena cosmetics inc. ,2131
1585,gorgeous legend business solution ,2579
1586,"iplus intelligent network, inc. ",3124
1604,eclaro ,1891
1608,value virtual assistants ,6581
1609,"desired things, ltd. ",1659
1610,asiatype,600
1611,freelancer,2355
1612,go-live pacific,2544
1613,pagasa-dost,4450
1614,science marketing development incorporation,5339
1625,startek,5790
1626,"john clements consultants, inc.",3243
1627,sutherland global services,5929
1628,"west contact services, inc.",6732
1630,ampersand,433
1632,allsec technologies limited,357
1635,maersk global service centres,3579
1638,manulife,3667
1641,convergys corporation,1413
1642,northgatearinso,4259
1643,the nielsen company (philippines) inc.,6182
1645,tv5,6385
1647,unosoft labs ,6515
1653,sprobe inc. ,5727
1654,"gothong southern shipping lines, inc. ",2580
1659,handumanan development corporation ,2646
1660,bigfoot solutions ,888
1661,peoplesupport ,4541
1662,sykes asia ,5953
1664,wesearch@searchers and staffers corporation,6723
1666,"global restaurant concepts, inc.",2514
1670,mcdonald's ,3745
1672,ayala property management corporation (apmc),722
1674,worksavers personnel services inc,6811
1677,viking cruises ,6631
1678,alphaland balesin hangar and lounge - naia ,368
1679,pagcor (philippine amusement and gaming corporation) ,4451
1680,"apt entertainment, inc. ",493
1682,philippine airlines ,4611
1684,"jgc philippines, inc.",3221
1690,dxc technology ,1831
1691,dhl ,1684
1692,de la salle lipa ,1566
1694,ems resources technology inc.,2020
1695,ampleon ,436
1697,hilmarc's construction corporation ,2731
1699,penbrothers,4522
1702,dale carnegie training,1528
1703,hinduja global solutions ltd,2736
1706,up school of statistics graduation committee,6536
1707,axa philippines,703
1708,up statistical society,6538
1711,up school of statistics student council,6537
1713,"bank of makati, a savings bank ",766
1715,minedomain inc. ,3899
1716,anteriore inc. ,458
1718,barcol-air philippines inc.,784
1719,"pipols synergy management services, inc.",4749
1720,iqor,3130
1721,bahay san rafael orphanage ,734
1722,philippine christian university,4632
1724,realtair ,5042
1725,"r2 group of companines (nailaholics, vivere salon & group of wellness brands) ",4986
1726,fieldtech specialist inc.,2231
1729,"saptm consulting, inc",5308
1730,hewlett-packard,2712
1733,"novasolutions (philippines), inc.",4271
1739,taskus 台灣 ,6031
1743,goldnines international co. ltd ,2568
1748,topdata global it solutions ,6256
1749,department of education - philippines ,1630
1750,metro soler lights and decor corp ,3842
1756,office of the civil registrar ,4315
1770,greenwich ,2614
1773,wideout,6750
1777,pinnacle real estate consulting,4744
1782,p&a grant thornton,4428
1786,likejobs,3492
1793,top asia management solutions inc.,6250
1796,"digital network access communications, inc.",1701
1797,technological institute of the philippines ,6062
1798,real solution inc. (globe) ,5035
1799,espa-fil import & export corp. ,2093
1800,solid electronics inc ,5658
1803,systemantech inc. ,5987
1808,cognizant,1310
1809,"amkor technology, inc.",430
1811,dito telecommunity corporation ,1755
1813,salesforce,5233
1819,"sd solutions i.t. outsourcing, inc. ",5349
1820,expert global solutions (now alorica) ,2162
1824,"interadent zahntechnik philippines, inc",3082
1829,"windoway trading, inc. ",6769
1830,nestlé,4157
1831,"wyeth philippines, inc",6839
1834,nestle s.a.,4151
1836,"evenflo company, inc.",2129
1837,goya philippines inc,2587
1838,j. walter thompson company limited,3187
1842,psbank official,4901
1843,"nestlé business services aoa, inc. (nbs manila)",4164
1844,nestlé ,4158
1845,del monte philippines ,1591
1846,pfizer ,4577
1847,pal express ,4454
1849,pfizer,4576
1851,monsanto company,3957
1852,east-west seed,1870
1855,"aspen business solutions, inc.",607
1859,forgems marketing company inc.,2327
1860,life change recovery center,3489
1861,world citi medical center,6815
1865,building bridges sped and learning center,967
1868,universal robina corporation,6470
1871,"branded lifestyle, inc.",946
1872,"inovent design, inc.",3024
1878,atome ,655
1879,metrobank ,3846
1881,nestle philippines,4120
1882,university of perpetual help system dalta,6486
1883,pamantasan ng cabuyao,4456
1885,miyasaka polymer,3930
1892,big e food corporation - lemon square ,884
1893,sucere foods corporation,5867
1895,coca-cola femsa,1297
1896,nestlé health science,4167
1897,agnitio ventures incorporated,274
1899,dlsu business management society,1770
1907,dlsu englicom,1773
1911,"cobena business analytics & strategy, inc. ",1282
1912,"nestle philippines, inc.",4133
1913,nestle (china) ltd.,4101
1914,"nestle sa, switzerland",4152
1915,nestle indonesia,4116
1918,"nestle philippines, inc. - cabuyao factory",4135
1920,"goya, inc. (confectionery business and subsidiary of nestle philippines)",2589
1925,paper industries corporation of the philippines (picop) - head office,4472
1926,paper industries corporation of the philippines (picop) - millsite,4473
1927,nestlé philippines inc.,4176
1940,makati city council,3609
1944,scc innovasia inc.,5329
1945,avon,693
1946,bugong foods corporation,966
1951,paolo's plates,4471
1952,"united laboratories, inc.",6456
1953,"philippine survey and research center, inc. (psrc)",4689
1957,yuchengco research center,6888
1966,glaxosmithkline,2498
1969,1rotary trading corporation,14
1970,growsari,2620
1971,ab heineken philippines inc.,79
1972,concepcion-midea inc,1387
1973,concepcion-carrier air conditioning company (ccac),1386
1977,littelfuse ,3507
1978,advantek ,244
1980,"wyeth philippines, inc ",6840
1981,united limsun international trading corporation,6457
1982,suyen corporation,5931
1989,ingram micro philippines bpo llc ,3013
1990,maya ,3728
1993,magsaysay people resources (magsaysay maritime corporation),3603
1994,bulacan state university,969
1996,"seaoil philippines, inc.",5356
1998,mckenzie distribution company inc.,3749
2009,shell,5438
2011,dlsu student care initiative,1775
2013,jteam events & ushering ,3278
2014,"university student government, de la salle university",6511
2016,unilever ,6437
2017,foodpanda ,2311
2027,the gea group,6161
2031,government service insurance system ,2584
2035,mitsubishi corporation,3923
2037,people management association of the philippines,4530
2039,china bank ph,1170
2041,armed forces of the philippines,524
2042,department of foreign affairs,1637
2043,nestle philippines inc.,4125
2044,nestle philippines inc. cabuyao,4127
2045,nestle,4099
2046,nestle philippines cabuyao factory,4122
2048,university of the philippines ,6499
2049,ateneo de manila university ,638
2050,pepsi-cola products philippines inc.(pcppi) ,4550
2051,metropacific tollways corporation ,3854
2052,jg summit holdings inc.,3215
2053,accra law offices ,168
2058,kepco ilijan corporation,3329
2059,supreme court of the philippines,5919
2060,sycip salazar hernandez & gatmaitan,5944
2062,samsung electronics ,5252
2063,ginebra san miguel ,2489
2067,"testech, inc.",6130
2068,epson precision philippines inc.,2066
2071,"nestlé philippines, inc.",4177
