,Unnamed: 0,Job Title,role_code,Category,Industry,Average/Salary Per Year
974,1682,operations analyst,6975,Technology,Mobile Applications,800000.0
992,1709,editor in chief,3182,"Arts, Entertainment and Recreation","Arts, Entertainment, and Recreation",672000.0
999,1727,software engineering manager,10440,Technology,Telecommunications,3650000.0
1000,1729,senior technical consultant,10076,Professional Services,Consulting,1790000.0
1015,1773,data management specialist,2775,Engineering and Sciences,Information Technology (IT) Consulting,875000.0
1021,1796,technical engineer,11488,Technology,Information Technology (IT) Services,396000.0
1025,1802,desktop support engineer,2947,Technology,Information Technology (IT) Systems Design or Integration,606000.0
1035,1833,marketing director,6497,Wholesale Trade,"Fast-moving Consumer Goods, Wholesale",7800000.0
1038,1836,brand manager,1252,Engineering and Sciences,Pharmaceutical Research and Development,1550000.0
1039,1838,account manager,85,Manufacturing,Specialty Chemical Manufacturing,1800000.0
1062,1868,assistant brand manager,605,Manufacturing,Manufacturing,840000.0
1065,1872,industrial designer,5121,Construction,Real Estate Development,330000.0
1072,1880,production supervisor,7794,Manufacturing,Cigarette Manufacturing,1000000.0
1074,1884,production associate,7756,Technology,Telecommunications,103200.0
1083,1897,clinical dietitian,1818,Health Care,Hospital,300000.0
1101,1915,corporate controller,2231,Transportation and Warehousing,"Shipping, Transportation, Warehousing, or Logistics",4680000.0
1117,1931,warehouse assistant,12208,Manufacturing,Cement Manufacturing,168000.0
1120,1935,regional sales manager,8562,Wholesale Trade,"Fast-moving Consumer Goods, Wholesale",2431000.0
1121,1936,key account manager,5900,Manufacturing,Athletic or Sport Apparel Manufacturing,3500000.0
1123,1938,area sales manager,565,Manufacturing,Specialty Chemical Manufacturing,2300000.0
1162,1980,distribution supervisor,3107,Wholesale Trade,"Coffee, Wholesale",341250.0
1164,1982,warehouse supervisor,12215,Energy and Utilities,Oil and Gas Field Services,3090000.0
1165,1983,industrial engineer,5122,Transportation and Warehousing,Airline or Aviation Fixed-Base Operator (FBO),520000.0
1169,1987,maintenance supervisor,6232,Energy and Utilities,Renewable Energy Power Generation,800000.0
1171,1989,accounting associate,158,Finance and Insurance,Investment Banking,938298.0
1204,2034,employee relations specialist,3254,Technology,Information Technology (IT) Services,420000.0
1210,2043,plant engineer,7365,Energy and Utilities,Oil and Gas Exploration,162000.0
1212,2045,maintenance planner,6225,Manufacturing,Pulp and Paper Manufacturing,264000.0
1227,2065,production team leader,7800,Manufacturing,Tobacco Manufacturing,444000.0
1245,2084,marketing manager,6509,Health Care,Health Care,3000000.0
1246,2085,group product manager,4095,Manufacturing,Nutritional Supplement Manufacturing,3300000.0
1247,2086,senior brand manager,9337,Retail and Customer Service,Retail,2400000.0
1283,2128,research analyst,8669,Finance and Insurance,Securities Brokerage,1200000.0
1304,2153,production operator,7779,Manufacturing,Cement Manufacturing,950000.0
1318,2175,general accountant,3869,Professional Services,Hotel Management,960000.0
1329,2186,logistics manager,6184,Manufacturing,Petroleum Lubricant Manufacturing,1320000.0
1352,2214,category manager,1631,Technology,Telecommunications,1680000.0
1371,2236,nutrition specialist,6849,Manufacturing,Food and Beverage Manufacturing,672000.0
1395,2265,production assistant,7755,Media and Publishing,Publishing,2000000.0
1407,2279,administrative director,300,Professional Services,Call Center,540000.0
1411,2284,chemist,1719,Manufacturing,Chemical Manufacturing,400000.0
1425,2302,engineering manager,3309,Construction,Construction,480000.0
1434,2313,finance officer,3604,Professional Services,Consulting,1000000.0
1453,2335,community manager,1970,Professional Services,"Marketing, Advertising, and Media Management",216000.0
1470,2367,technical training specialist,11643,Agriculture and Forestry,Agriculture,350000.0
1472,2373,virtual assistant,12151,Real Estate,Real Estate Property Management,426000.0
1495,2410,executive administrative assistant,3417,Real Estate,Real Estate,480000.0
1524,2447,quality assurance manager,8205,Finance and Insurance,Financial Services,1920000.0
1529,2454,laboratory manager,5945,Energy and Utilities,Water Utilities,663000.0
1540,2471,field sales executive,3567,Technology,Software Services,600000.0
1542,2474,buyer,1500,Retail and Customer Service,"e-Commerce, Business to Consumer (B2C)",930000.0
1547,2480,assistant auditor,601,Engineering and Sciences,Business Process Outsourcing,180000.0
1550,2485,territory manager,11735,Wholesale Trade,"Drugs or Pharmaceuticals, Wholesale",1020000.0
1578,2523,office assistant,6867,Technology,Information Technology (IT) Services,500000.0
1585,2532,project management consultant,7973,Health Care,Health Care,728000.0
1588,2535,product development manager,7686,Manufacturing,Semiconductor Manufacturing,1100000.0
1617,2575,accounts receivable analyst,235,Wholesale Trade,"Fast-moving Consumer Goods, Wholesale",551780.0
1644,2614,collections specialist,1918,Professional Services,Medical Billing and Collection Services,2169600.0
1650,2620,business unit controller,1490,Manufacturing,Chemical Manufacturing,1242000.0
1662,2635,billing supervisor,1194,Professional Services,Law Firm,667000.0
1673,2658,marketing officer,6512,Nonprofits,Humanitarian Organization,795600.0
1682,2667,product development specialist,7692,Technology,Telecommunications,588000.0
1691,2681,inventory controller,5416,Manufacturing,Manufacturing,222454.0
1693,2683,inventory analyst,5408,Retail and Customer Service,Online Store,768000.0
1714,2706,financial analyst,3633,Retail and Customer Service,Retail,1459000.0
1716,2708,packaging engineer,7177,Manufacturing,Food and Beverage Manufacturing,852000.0
1725,2721,assistant product manager,718,Wholesale Trade,"Drugs or Pharmaceuticals, Wholesale",608400.0
1730,2727,procurement manager,7647,Professional Services,Customer Service Call Center,2340000.0
1735,2734,business development analyst,1363,Technology,Software as a Service (SaaS) Development,680000.0
1748,2752,senior product manager,9794,Retail and Customer Service,"e-Commerce, Business to Consumer (B2C)",5000000.0
1749,2755,associate brand manager,823,Professional Services,Consulting,780000.0
1750,2758,media buyer,6603,Professional Services,"Marketing, Advertising, and Media Management",343200.0
1759,2770,management accountant,6247,Construction,Construction,1200000.0
1760,2771,senior cost accountant,9403,Manufacturing,Semiconductor Chip Manufacturing,600000.0
1761,2774,channel sales manager,1704,Finance and Insurance,Insurance and Financial Services,2700000.0
1776,2793,procurement specialist,7653,Professional Services,Recruiting or Staffing,780000.0
1811,2835,procurement officer,7649,Government,Government,1500000.0
1823,2848,business development officer,1380,Energy and Utilities,Energy or Utilities,1028400.0
1826,2851,internal auditor,5356,Manufacturing,Food Manufacturing,1365000.0
1838,2868,nutritionist,6850,Health Care,Hospital,349057.0
1840,2870,social media analyst,10341,Manufacturing,Manufacturing,420000.0
1841,2871,marketing associate,6480,"Arts, Entertainment and Recreation",Fitness Club,845000.0
1843,2874,accounting specialist,182,Professional Services,Architectural Services,1020000.0
1875,2917,accountant,127,Finance and Insurance,Commodity Trading,1700000.0
1918,2977,consulting manager,2082,Technology,Software as a Service (SaaS) Development,3120000.0
1919,2978,managing editor,6406,Media and Publishing,Television News Broadcasting,756000.0
1952,3033,continuous improvement manager,2134,Manufacturing,Pharmaceutical Manufacturing,1900000.0
1955,3036,senior process engineer,9770,Finance and Insurance,Banking,1435704.0
1962,3044,finance analyst,3582,Finance and Insurance,Asset Management,1050000.0
1963,3047,mechanic,6589,Engineering and Sciences,Third Party Logistics Services,216000.0
1968,3053,factory manager,3513,Manufacturing,Manufacturing,1800000.0
1970,3058,technical trainer,11638,Technology,Voice over IP Telephony (VoIP),707616.0
1991,3090,member service representative,6635,Professional Services,Customer Service Call Center,288000.0
2012,3117,assistant manager,639,Engineering and Sciences,Business Process Outsourcing,660000.0
2020,3126,payroll administrator,7238,Education,Education,553800.0
2034,3145,senior accountant,9216,Miscellaneous,"Professional, Scientific, and Technical Services",1080000.0
2041,3162,business development specialist,1382,Finance and Insurance,Insurance and Financial Services,660000.0
2043,3169,pharmacist,7312,Health Care,General Medical and Surgical Hospital,1070000.0
2075,3213,cost accountant,2296,Technology,Information Technology (IT) Services,522000.0
2076,3218,store supervisor,10845,Retail and Customer Service,Athletic or Sport Clothing Store,1080000.0
2089,3244,training manager,11873,Engineering and Sciences,Information Technology (IT) Consulting,2600000.0
2091,3248,information technology specialist,5203,Government,International Affairs,963000.0
2124,3295,procurement analyst,7614,Energy and Utilities,Metal Ore Mining,1200000.0
2129,3304,payroll specialist,7254,Professional Services,Call Center,660000.0
2182,3363,document controller,3120,Engineering and Sciences,Engineering Services,700000.0
2216,3402,manufacturing supervisor,6425,Manufacturing,Semiconductor Manufacturing,576000.0
2226,3415,compensation analyst,1988,Engineering and Sciences,Business Process Outsourcing,612000.0
2227,3418,payroll officer,7247,Retail and Customer Service,Retail,636000.0
2231,3423,business manager,1417,Energy and Utilities,Water Utilities,1350000.0
2243,3441,accounts receivable manager,241,Retail and Customer Service,Retail,1700000.0
2248,3446,accounts receivable supervisor,247,Manufacturing,Manufacturing,516000.0
2252,3451,supply chain analyst,10982,Manufacturing,Manufacturing,612000.0
2254,3455,systems programmer,11158,Finance and Insurance,Banking,1300000.0
2256,3459,accounts payable specialist,218,Construction,Construction,780000.0
2258,3461,treasury assistant,11951,Construction,Real Estate Development,216000.0
2259,3465,accounts payable analyst,203,Wholesale Trade,"Tires and Tubes, Wholesale",900000.0
2269,3485,technical support analyst,11560,Technology,Media Streaming Services,950000.0
2327,3552,tax specialist,11295,Engineering and Sciences,Business Process Outsourcing,600000.0
2328,3553,content writer,2127,Retail and Customer Service,"e-Commerce, Business to Consumer (B2C)",720000.0
2350,3584,process analyst,7503,Engineering and Sciences,Business Process Outsourcing,550000.0
2353,3587,electronics design engineer,3218,Manufacturing,Printed Circuit Board Manufacturing,354000.0
2363,3599,technical writer,11647,Finance and Insurance,Financial Services,807000.0
2364,3600,technical sales engineer,11523,Manufacturing,Chemical Manufacturing,1300000.0
2368,3604,market researcher,6444,Professional Services,"Marketing, Advertising, and Media Management",1500000.0
2374,3610,senior audit associate,9321,Finance and Insurance,Financial Services,500000.0
2379,3618,environmental compliance specialist,3345,Accommodation and Food Services,Food Service,360000.0
2382,3623,inside sales representative,5231,Manufacturing,"Heating, Ventilation, and Air-Conditioning System (HVAC) Manufacturing",840000.0
2383,3624,sales engineer,8904,Energy and Utilities,Electric Power Distribution,860000.0
2389,3634,senior data analyst,9425,Finance and Insurance,"Mortgage Lending, Loans, or Credit Products",1440000.0
2401,3654,payroll analyst,7239,Manufacturing,Pesticide and Other Agricultural Chemical Manufacturing,539500.0
2412,3667,accounting clerk,164,Education,"Colleges, Universities or Professional School",360000.0
2423,3681,test engineer,11752,Technology,Software Development,942500.0
2427,3690,customer support representative,2680,Technology,Software as a Service (SaaS) Development,500000.0
2428,3691,marketing analyst,6458,Manufacturing,Athletic or Sport Apparel Manufacturing,960000.0
2437,3709,tax accountant,11278,Professional Services,Accounting Services,2400000.0
2438,3710,tax associate,11286,Energy and Utilities,Electric Power Distribution,660000.0
2441,3714,senior business analyst,9345,Technology,Enterprise Resource Planning (ERP) Software Development,5114104.0
2446,3719,senior supply chain analyst,10003,Technology,Telecommunications,960000.0
2447,3720,pricing specialist,7469,Retail and Customer Service,"Cosmetics, Beauty Supplies or Perfume Store",668400.0
2450,3725,communications officer,1963,Wholesale Trade,"Fast-moving Consumer Goods, Wholesale",1005121.0
2452,3729,food service worker,3738,Accommodation and Food Services,Hotel,163000.0
2455,3733,receptionist,8317,Retail and Customer Service,Day Spa,1800000.0
2473,3754,senior financial analyst,9494,Media and Publishing,Publishing,1235000.0
2474,3756,staff accountant,10809,Professional Services,Consulting,480000.0
2476,3760,administrative analyst,291,Construction,Construction,15000.0
2478,3768,product engineer,7696,Finance and Insurance,Financial Services,1320000.0
2479,3770,accounts receivable specialist,242,Finance and Insurance,Health Insurance,2100000.0
2492,3791,safety officer,8846,Engineering and Sciences,Logistics Services,2400000.0
2494,3795,component engineer,2016,Manufacturing,Semiconductor Chip Manufacturing,362400.0
2496,3797,solutions architect,10483,Finance and Insurance,Financial Services,2760000.0
2500,3804,assistant marketing manager,707,Transportation and Warehousing,Commercial Aviation or Airline,840000.0
2504,3809,junior software engineer,5870,Media and Publishing,Publishing,400530.0
2510,3817,purchasing officer,8132,Construction,"Heating, Ventilation, and Air-Conditioning (HVAC) Contractor",572496.0
2516,3825,audit supervisor,1044,Professional Services,Tax and Audit Services,780000.0
2526,3841,financial reporting analyst,3666,Technology,Software Services,1000000.0
2532,3849,mechanical engineer,6593,Manufacturing,Solar Photovoltaics (PV) Manufacturing,1060416.0
2533,3850,mechanical design engineer,6591,Manufacturing,Mining Machinery and Equipment Manufacturing,780000.0
2540,3859,business process analyst,1443,Finance and Insurance,Financial Services,1000000.0
2541,3860,purchaser,8112,Wholesale Trade,Wholesale Distribution,1200000.0
2545,3867,claims representative,1771,Finance and Insurance,Health Insurance,500000.0
2557,3884,technical account manager,11451,Engineering and Sciences,Business Process Outsourcing,1584000.0
2572,3907,field service engineer,3569,Manufacturing,Mining Machinery and Equipment Manufacturing,600000.0
2582,3923,inventory supervisor,5422,Retail and Customer Service,"e-Commerce, Business to Consumer (B2C)",579600.0
2586,3933,senior counsel,9405,Energy and Utilities,Metal Ore Mining,2200000.0
2588,3935,corporate secretary,2280,Finance and Insurance,Commercial Banking,1356000.0
2590,3939,senior paralegal,9744,Energy and Utilities,Energy or Utilities,420000.0
2593,3943,accounting analyst,136,Retail and Customer Service,"e-Commerce, Business to Consumer (B2C)",490000.0
2601,3962,network security engineer,6800,Technology,Information Technology (IT) Services,665194.0
2614,3984,design engineer,2937,Manufacturing,Semiconductor Chip Manufacturing,1510000.0
2628,4001,customer service supervisor,2646,Health Care,Health Care,1063860.0
2634,4009,cyber security analyst,2694,Finance and Insurance,Investment Holding Company,600000.0
2638,4013,high school teacher,4343,Education,Public K-12 Education,272381.0
2647,4030,logistics supervisor,6197,Finance and Insurance,Banking,648000.0
2650,4033,logistics analyst,6174,Construction,Construction,408000.0
2651,4034,senior buyer,9359,Manufacturing,Oil and Gas Refinement,1326000.0
2666,4052,demand manager,2873,Retail and Customer Service,"Cosmetics, Beauty Supplies or Perfume Store",1327200.0
2668,4054,sales analyst,8863,Wholesale Trade,"e-Commerce, Business to Business (B2B)",430000.0
2688,4083,junior accountant,5749,Technology,Software Development,480000.0
2698,4098,operations supervisor,7053,Finance and Insurance,Financial Services,1190000.0
2701,4105,senior account manager,9214,Transportation and Warehousing,"Shipping, Transportation, Warehousing, or Logistics",2400000.0
2713,4119,senior tax associate,10043,Professional Services,"Accounting, Auditing and Tax Services",480000.0
2715,4123,help desk analyst,4321,Professional Services,Law Firm,324000.0
2735,4159,product owner,7732,Transportation and Warehousing,"Shipping, Transportation, Warehousing, or Logistics",2667075.0
2746,4174,general ledger accountant,3884,Construction,"Heating, Ventilation, and Air-Conditioning (HVAC) Contractor",500000.0
2768,4201,international sales manager,5382,Miscellaneous,"Advertising, Branding, and Sales Promotions",3000000.0
2769,4202,sales manager,8918,Finance and Insurance,Insurance and Financial Services,2700000.0
2797,4237,tax analyst,11279,Engineering and Sciences,Business Process Outsourcing,567000.0
2822,4269,computer technician,2036,Manufacturing,Food Manufacturing,251936.0
2847,4305,lead business analyst,5967,Technology,Information Technology (IT) Services,600000.0
2888,4370,global sourcing manager,4015,Manufacturing,Manufacturing,540000.0
2906,4395,product development engineer,7684,Manufacturing,Solar Photovoltaics (PV) Manufacturing,390000.0
2910,4400,business process manager,1455,Manufacturing,Oil and Gas Refinement,1872000.0
2912,4403,engineering technician,3314,Engineering and Sciences,Engineering Services,432000.0
2937,4439,compliance engineer,2008,Manufacturing,Manufacturing,408.0
2941,4445,functional analyst,3844,Nonprofits,Humanitarian Organization,3000000.0
2943,4447,accounting supervisor,188,Engineering and Sciences,Electronics or Electrical Engineering Design,7150000.0
2952,4458,controls engineer,2191,Energy and Utilities,Energy or Utilities,600000.0
2953,4459,automation engineer,1061,Professional Services,Consulting,1060486.0
2957,4465,account supervisor,124,Professional Services,"Marketing, Advertising, and Media Management",800000.0
2964,4486,software test analyst,10469,Technology,Information Technology (IT) Services,500000.0
2975,4498,business consultant,1345,Technology,Telecommunications,2200000.0
2979,4503,network engineer,6782,Energy and Utilities,Energy or Utilities,1080000.0
3014,4558,demand planner,2875,Energy and Utilities,Oil and Gas Field Services,797000.0
3024,4581,finance associate,3594,Energy and Utilities,Energy or Utilities,1074000.0
3057,4624,auditor,1047,Finance and Insurance,Financial Services,700000.0
3063,4632,senior auditor,9323,Finance and Insurance,Investment Fund,6000000.0
3076,4655,material planner,6567,Technology,Satellite Telecommunications,600000.0
3119,4716,program development manager,7835,Finance and Insurance,"Mortgage Lending, Loans, or Credit Products",300000.0
3149,4771,technical services manager,11532,Agriculture and Forestry,Agriculture,1200000.0
3155,4784,safety engineer,8844,Energy and Utilities,Renewable Energy Power Generation,600000.0
3159,4792,accounting manager,172,Energy and Utilities,Water Treatment Products and Services,2080000.0
3160,4793,chief accountant,1722,Health Care,Health Care,4800000.0
3161,4794,finance manager,3603,Technology,Internet Gaming Website,4536000.0
3180,4830,customer support engineer,2673,Wholesale Trade,"Construction and Mining (except Oil Well) Machinery and Equipment, Wholesale",360000.0
3199,4855,project management specialist,7983,Engineering and Sciences,Business Process Outsourcing,999700.0
3201,4857,call center agent,1543,Health Care,Hospital,300000.0
3217,4880,manufacturing engineer,6416,Manufacturing,Automotive Manufacturing,1698000.0
3220,4883,pricing analyst,7465,Engineering and Sciences,Biotechnology Research and Development,1000000.0
3275,4957,systems administrator,11126,Professional Services,Payroll Services,939600.0
3295,4982,system support engineer,11117,Technology,Internet Gaming Website,558882.0
3298,4988,supply chain planner,11030,Manufacturing,Manufacturing,768000.0
3305,5004,fleet supervisor,3718,Transportation and Warehousing,"Shipping, Transportation, Warehousing, or Logistics",360000.0
3308,5008,management analyst,6249,Finance and Insurance,Banking,495000.0
3310,5010,lead software engineer,6010,Technology,Telecommunications Software Development,2800000.0
3312,5012,software support engineer,10465,Technology,Information Technology (IT) Services,1170000.0
3320,5022,graphic artist,4074,Construction,Real Estate Development,520000.0
3329,5043,webmaster,12262,Education,Post-Secondary Online Education,282000.0
3331,5045,account executive,73,Professional Services,"Accounting, Auditing and Tax Services",3360000.0
3335,5055,business systems analyst,1481,Energy and Utilities,Oil and Gas Exploration,1800000.0
3343,5068,contracts manager,2172,Energy and Utilities,Energy or Utilities,1800000.0
3346,5072,legal assistant,6104,Professional Services,Business Consulting,750000.0
3375,5124,financial accountant,3621,Professional Services,Consulting,918000.0
3386,5146,facility engineer,3501,Engineering and Sciences,Engineering Services,276000.0
3425,5209,electrical design engineer,3204,Energy and Utilities,Oil and Gas Field Services,2000000.0
3448,5245,general manager,3889,Engineering and Sciences,Logistics Services,2500000.0
3456,5257,security engineer,9188,Media and Publishing,Publishing,1200000.0
3466,5276,project accountant,7890,Finance and Insurance,Commodity Trading,660000.0
3470,5285,senior technical support engineer,10088,Finance and Insurance,Financial Services,759525.0
3504,5347,manufacturing manager,6421,Manufacturing,Manufacturing,720000.0
3536,5403,fraud analyst,3760,Finance and Insurance,Commodity Trading,600000.0
3542,5412,marketing executive,6499,Retail and Customer Service,Tools and Hardware Store,3120000.0
3558,5436,risk analyst,8799,Technology,Financial Services Software Development,1068000.0
3576,5461,production controller,7762,Finance and Insurance,Investment Banking,1300000.0
3580,5466,senior marketing manager,9700,Accommodation and Food Services,Fast Food Restaurant,2925000.0
3602,5491,marketing communications manager,6490,Wholesale Trade,"Fast-moving Consumer Goods, Wholesale",2014000.0
3612,5507,sales support associate,8940,Finance and Insurance,Investment Banking,852000.0
3633,5546,web administrator,12222,Manufacturing,Automation Original Equipment Manufacturing (OEM),636000.0
3672,5612,freelance writer,3797,Professional Services,"Marketing, Advertising, and Media Management",150000.0
3675,5619,information security analyst,5150,Engineering and Sciences,Information Technology (IT) Consulting,1560000.0
