,role_or_degree,role_code
508,it consultant,5490
509,application developer analyst,467
510,graphic designer,4078
511,graphic design intern,4076
516,advanced application engineering analyst,327
517,jr. software engineer,5738
518,front-end web developer intern,3818
519,summer youth intern,10931
524,quality engineering associate,8246
525,project engineer,7922
526,broadcast engineer trainee,1281
528,senior collections specialist,9380
532,strategic support group - intern,10867
535,sales development representative,8898
537,customer support associate,2672
538,seasonal sales associate,9162
543,case manager,1600
544,employee experience associate,3243
548,service desk analyst,10183
552,field hr manager,3551
553,field hr associate manager,3548
554,field hr specialist,3555
555,senior analyst for human resources,9251
556,people advisor analyst,7271
557,independent consultant for recruitment,5109
558,application development associate manager,478
559,application development team lead,484
560,solutions analyst,10481
561,software engineering senior analyst,10443
562,software engineering analyst,10436
563,software engineering associate,10438
565,insight analytics intern,5232
567,pastry assistant,7224
568,application development analyst,471
574,hr specialist for gc sourcing hub,4775
575,hr specialist,4764
576,avanade hr recruitment team senior analyst,1072
578,el tech recruiter,3200
579,recruitment - sourcing,8359
581,data analyst / technical coach,2718
583,associate consultant,829
584,research associate,8688
585,search associate,9159
586,sourcing specialist,10531
588,hardware (mechanical) design engineer,4132
589,associate hardware (mechanical) design engineer,866
590,plant manager,7370
591,technical assistant,11464
593,research assistant and tutor,8686
594,web developer and marketing associate ,12247
595,assistant secretary,732
596,technical support engineer,11570
597,accenture advanced technology centers in the philippines (atcp) lead ,42
598,"senior managing director - global artificial intelligence capability lead, accenture technology ",9693
599,"senior managing director – accenture technology, global application services lead for communications",9694
603,appointment setter,532
604,inbound customer service representative / tech support,5086
606,copywriter intern,2200
609,quality assurance intern,8203
610,talent management and engagement lead for technology,11248
612,hr business partner sr. analyst,4536
613,hr business partner analyst,4527
614,assistant manager human resources,681
617,business analyst,1307
620,quality engineering senior analyst ,8247
623,recruitment supervisor - accenture operations,8489
624,recruitment analyst - accenture operations,8383
625,recruitment associate - accenture operations,8410
626,recruitment associate - corporate recruitment,8411
627,sourcing assistant - corporate recruitment,10512
632,hr service delivery associate,4734
633,hr sourcing associate,4762
644,application developer,463
650,onsite support,6951
652,it operations associate,5551
653,recruiting specialist,8349
654,human resources partner,4999
657,marketing and business development manager,6462
658,oic/ operations and sales,6906
659,operations manager,7013
660,senior systems specialist,10032
661,owner/propreitor,7168
662,systems developer,11143
663,information technology officer,5193
664,instructor in mathematics,5244
665,cmt lead,1861
669,consultant - it services,2061
672,staffing specialist,10825
673,sourcing assistant,10511
675,software engineer analyst,10416
677,reports analyst,8656
678,web designer,12238
681,full stack software developer,3833
684,quality assurance analyst - business transformation,8183
685,program and project management associate,7825
686,technology risk consultant,11692
688,senior recruitment coordinator - korn ferry rpo,9868
689,senior recruitment coordinator,9867
691,recruitment coordinator - korn ferry rpo,8427
692,hr executive,4577
694,hr and admin officer,4460
696,web advisor,12223
697,import logistics assistant,5077
699,academic researcher and writer ,39
701,training & onboarding assistant,11850
702,training assistant,11861
705,talent supply demand analyst,11272
710,engineering instructor,3307
714,senior analyst programmer,9256
715,analyst programmer,409
716,associate analyst programmer,819
717,microsoft student partner,6669
721,hr recruitment intern,4709
724,recruitment new associate,8451
726,data entry clerk,2757
728,human resources analyst,4934
731,programmer systems analyst 1,7874
735,senior preboarding coordinator,9760
736,talent advisor,11232
737,office assistant- recruitment,6869
738,human resources recruiter,5004
739,flight attendant,3720
740,cva recruitment associate - business development,2685
746,hr recruitment supervisor,4716
747,hr & sales coordinator,4374
748,human resource administrator,4874
749,hr practitioner,4663
750,software engineering team lead,10445
751,technical specialist - rpa,11549
755,human resource supervisor,4908
764,python developer,8141
766,sourcing recruiting senior analyst,10530
767,sourcing recruiting analyst ,10528
768,sourcing recruiting associate,10529
771,hr supervisor,4792
772,hr assistant manager,4489
773,sr. human resources officer,10709
777,parts handler assistant - order expediting,7216
778,parts management trainee,7217
779,hr assistant -legal,4483
780,operations planning and control analyst,7039
781,industrial engineer intern,5124
782,web and digital analytic intern,12226
783,office clerk (spes),6871
785,measurement and reporting associate,6588
786,transaction processing new associate,11899
788,bms engineer,1203
790,trainee,11839
792,recruiting operations team lead,8345
793,japanese and multilingual recruiting specialist,5670
794,strategic sourcing senior analyst,10863
795,strategic sourcing analyst,10859
796,corporate social responsibility coordinator,2285
797,program and project management analyst,7824
798,software engineer associate,10418
799,senior xml layout editor,10122
800,associate software engineering,933
801,software engineer intern,10424
806,hr senior analyst,4725
807,hr service delivery analyst,4733
808,hr shared sevices - hr analyst,4755
809,finance & admin business analyst,3574
810,hr senior service associate,4730
813,business process delivery associate,1448
814,online english instructor ,6941
815,recruitment intern,8438
816,legal office intern,6111
818,admin intern ,277
823,hr team lead,4808
824,hr coordinator,4559
826,verifications specialist,12083
828,human resources - business partner manager,4919
829,human resources - business partner associate manager,4918
830,human resources - learning & leadership development associate manager,4922
831,human resources - learning & leadership development consultant,4923
832,business shared services team lead,1467
833,technical support senior analyst,11618
834,financial sales associate,3674
837,trainer,11846
838,performance coach,7284
839,frontline associate,3824
840,trusted advisor,11980
841,associate application developer,820
842,president,7452
843,treasurer,11949
845,intermediate technology analyst,5288
846,engineer/designer,3301
849,it officer,5545
851,erp associate administrator,3361
855,full-stack developer,3836
857,freelance,3778
858,development intern,2964
860,research and development intern,8678
861,certified dear world storyteller,1661
862,human resource transitions manager,4912
863,human resource associate manager,4885
864,human resource specialist,4904
865,test engineering team lead,11758
869,hr recruitment assistant,4704
871,session staff,10257
877,software development manager,10387
878,senior developer,9446
879,robotics engineer,8817
880,process automation engineer,7524
881,rapid application developer(manager),8299
882,rapid application developer,8298
883,sr. software engineer,10766
884,analytics specialist,430
886,freelance computer programmer / web developer,3782
887,.net developer,17
889,computer programmer / web developer,2032
890,junior software developer,5868
891,php - web developer,7337
892,senior human resources analyst,9548
894,human resources business partner,4956
895,talent acquisition coordinator - corporate hiring,11190
898,recruiting new associate,8344
899,preschool teacher / office admin,7451
902,servicenow consultant,10246
903,servicenow developer,10247
904,senior sharepoint consultant,9912
905,servicenow developer / administrator,10248
906,senior sharepoint consultant | sitecore developer,9913
907,sharepoint consultant,10272
908,sharepoint developer,10273
909,junior consultant - managed services,5795
911,engagement coordinator/advisory consultant,3271
912,hr specialist iii - us recruiter,4778
913,talent acquisition intern,11197
916,software quality assurance tester intern,10462
917,web developer intern ,12249
918,associate test engineer,947
919,summer intern,10924
921,college lecturer,1924
922,candidate marketing - campus lead for accenture technology,1553
923,project manager - marketing and industry affairs,7994
924,accounts and project lead,194
925,program manager,7848
926,senior program associate ,9806
927,program associate,7828
928,recruitment - sourcing delivery associate manager,8360
929,recruitment - sourcing planning lead,8361
933,deployment manager,2893
934,mobilization lead,6718
935,quality lead - health bpo,8254
936,quality lead - utilities bpo,8255
938,senior quality specialist,9850
941,computer engineering intern,2025
942,test automation intern,11749
943,human resources consultant,4960
944,training and development specialist,11856
945,account manager solution architect,92
946,training consultant,11866
947,credit collections specialist,2391
948,fraud consultant,3765
949,intensive care unit and medical surgical,5267
959,online business entrepreneur,6936
961,research and development engineer,8676
963,hr - talent acquisition,4377
971,clinical internship - group dynamics facilitator,1821
972,educational internship - guidance and counseling,3195
976,recruiting analyst (recruiter),8337
979,talent acquisition coordinator,11189
983,graduate recruitment coordinator,4069
986,crossborder returns analyst,2425
989,sevice delivery ops senior analyst,10264
993,market operations intern,6441
995,senior manager human resources - sourcing and job fair recruitment,9663
996,human resources manager - sourcing,4990
997,human resources assistant manager - sourcing,4945
998,human resources - sourcing supervisor,4925
999,"human resources - sourcing, associate",4926
1000,quality assurance coordinator,8195
1003,hr benefits lead,4513
1006,hr supervisor - compensation and benefits,4794
1007,hr officer,4627
1009,officer clerk / sales department,6879
1010,front-end | wordpress developer,3819
1012,wordpress developer,12308
1013,web development specialist,12253
1014,front-end developer,3814
1015,computer instructor,2027
1016,area leader,555
1017,executive assistant,3418
1018,call center representative,1546
1021,human resources officer - talent acquisiton,4998
1022,fulltime mba student,3843
1023,hr operation administrator,4637
1024,hr generalist for recruitment and communications,4585
1027,system software engineer,11115
1029,ui ux designer,11995
1030,junior architect,5756
1032,architectural intern,543
1034,jr. software developer intern,5737
1038,tutor,11989
1039,sourcing specialist ii,10538
1041,voluntary work,12170
1042,professional development,7807
1043,guidance office intern,4125
1044,clinical psychology intern,1825
1049,information technology intern,5192
1051,qa tester,8158
1052,software qa tester (for globe telecom),10453
1053,software qa tester,10452
1054,database gatekeeper,2818
1055,software tester,10473
1058,ph recruitment sourcing associate - adi and domestic towers,7306
1059,offers specialist,6863
1063,management information system assistant,6259
1064,social media contributor,10345
1065,technical support intern,11594
1072,"entity leader, operations & corporate functions recruitment sourcing",3338
1073,indoor cycling instructor,5119
1074,human resources and recruitment,4935
1075,senior sourcing manager,9958
1076,recruitment and sourcing manager,8397
1077,sourcing manager,10523
1078,sourcing cluster head,10515
1079,recruitment marketing and sourcing senior coordinator,8448
1080,online english instructor,6940
1082,production planning engineer,7788
1083,quality assurance engineer,8196
1086,offshore recruiter,6896
1087,junior recruiter,5858
1097,data encoder,2746
1098,recruiting manager,8343
1100,hr recruitment manager,4711
1101,hr recruitment assistant manager,4706
1104,hr performance management representative,4659
1106,content moderation analyst,2123
1107,customer experience representative,2512
1109,instrumentation engineer intern,5250
1110,payroll operations senior analyst,7250
1111,payroll operations analyst,7248
1112,human resources administrator,4930
1113,hr assistant (internal),4470
1114,hr admin assistant,4387
1115,front desk,3801
1116,billing clerk,1190
1120,backend developer,1139
1121,frontend developer,3821
1124,independent contractor - recruitment ,5115
1126,human resources assistant (employee relations),4937
1128,employee relations assistant,3249
1129,proctor,7608
1134,senior database administrator,9441
1139,advance app engineering analyst,322
1141,senior client partner,9377
1142,business operations analyst,1424
1143,business operations associate,1425
1146,devsecops engineer,2973
1147,scrum master,9153
1148,software engineer and scrum master,10417
1149,software engineer (agile-scrum),10396
1152,application developer intern,469
1153,hr people advisor,4655
1154,hr talent fulfillment analyst - technology,4804
1155,recruitment specialist ii,8485
1159,software engineer ,10395
1161,radio frequency test engineer,8288
1163,qve (supply chain deployment),8276
1164, application development associate,1
1165,graphic design associate,4075
1166,statistician intern,10834
1167,work immersion,12312
1170,seo specialist,10127
1172,wordpress developer / front-end developer,12309
1173,service repair assistant (fiber),10234
1178,hr recruitment associate (technical recruiter),4708
1180,calibration engineer,1542
1181,instrumentation and control technician,5249
1189,user experience researcher,12051
1195,software quality assurance tester,10461
1202,core technology engineer,2205
1208,rpo specialist,8838
1210,senior analyst,9235
1211,business intelligence team lead,1410
1212,jr. business intelligence operations support,5707
1213,associate data analyst,833
1214,analytics consultant,425
1215,graduate consultant trainee,4057
1216,project management intern,7977
1220,business process lead,1452
1221,senior quality assurance specialist,9846
1222,quality assurance specialist,8210
1223,digital marketing analyst,2994
1224,technical support advisor,11558
1225,quality engineering team lead,8248
1228,sql scripter,10652
1229,service desk,10181
1231,quality management system intern,8262
1232,compression department intern,2020
1233,time and motion study,11800
1237,mobile application developer intern,6706
1239,recruitment associate (rpo),8408
1240,talent acquisition consultant,11188
1242,talent acquisition - intern,11174
1243,senior recruiting lead for technology,9860
1246,senior talent acquisition manager,10036
1247,talent acquisition manager,11200
1248,"assistant manager, talent acquisition",699
1253,ie technician,5058
1254,process technician,7596
1255,advanced application engineer,326
1258,hr specialist project management,4779
1260,business development manager,1376
1262,mobile application developer,6705
1264,"specialist, aspac hr data management",10630
1267,human resources assistant - employee relations and benefits,4940
1268,human resource assistant - recruitment,4880
1270,senior human resources specialist,9559
1273,hr intern - talent acquisition department,4596
1280,internal recruiter,5363
1281,recruitment/compensation & benefits supervisor,8497
1282,hris/compensation & benefits supervisor,4857
1283,talent management supervisor,11255
1284,hris / compensation and benefits analyst,4844
1285,asset management officer,591
1286,timekeeper/documentation in-charge,11805
1287,recruitment & benefits officer,8352
1288,recruitment team lead,8493
1289,recruitment staff,8487
1291,student,10878
1292,tenancy engineer,11725
1294,engineering associate,3304
1295,storage and backup administrator team lead,10842
1296,cloud technology - team lead,1850
1297,it operations,5549
1298,it specialist,5606
1302,english second language tutor,3323
1304,secretary,9168
1305,course representative,2336
1310,full-stack web developer,3837
1311,hr recruitment leader,4710
1312,senior manager for talent acquisition ncr,9660
1319,hr/dcc staff,4834
1320,hr admin coordinator,4390
1323,performance & rewards senior specialist,7281
1325,employee connect specialist,3235
1328,program development associate,7834
1333,elementary teacher,3220
1334,teacher,11301
1335,sports editor,10647
1339,hr/recruitment officer,4835
1341,human resources & operations assistant,4915
1344,streamserve designer,10871
1347,recruitment analyst / recruiter,8389
1348,hr services operations specialist (apac),4748
1349,operations customer service representative ii,6991
1352,web development student,12254
1354,"advisor, client solutions",337
1358,order manager,7122
1359,sap recruiter,9065
1362,document control officer,3119
1363,technical support associate,11562
1371,information technology delivery manager,5183
1372,sap fico team lead,9018
1373,transition manager,11916
1374,reporting analyst,8650
1380,mlops engineer,6701
1382,hr talent fulfillment specialist,4805
1383,financial advisor and recruiter,3628
1386,executive secretary,3449
1387,client relations associate,1799
1390,information security specialist,5163
1396,bank teller,1155
1398,budget assistant,1296
1401,application analyst,459
1402,cloud security engineer,1845
1403,recruitment analyst - technology,8388
1404,rpo,8836
1405,hr-recruitment assistant,4829
1409,talent sourcing and acquisition intern,11265
1411,delivery associate,2848
1413,recruitment analyst - candidate management team,8386
1414,recruitment analyst - sourcing,8387
1421,civil engineer ojt,1759
1423,process engineer,7538
1424,production analyst,7750
1427,hr people advisor specialist,4658
1430,hr operations executive - rpo,4642
1432,administrative aide,290
1437,hr people advisor senior analyst,4657
1438,hr people advisor analyst,4656
1441,sap data analyst,9000
1445,resource associate,8723
1446,barista,1159
1449,app/cloud support associate,455
1450,biomedical engineer,1197
1453,entrepreneur,3339
1454,junior project manager,5855
1456,system analysis and design officer,11087
1457,programmer,7862
1458,level 1 soc support analyst,6117
1466,senior web developer,10114
1467,internship database administrator,5394
1468,hr program & operations associate manager,4681
1469,hr program & operations specialist,4683
1470,hr program & operations senior analyst,4682
1471,people advisor senior analyst,7273
1477,academic tutor,40
1478,recruitment specialist - strategic talent sourcing,8484
1479,human resources officer - digital sourcing,4997
1480,human resources associate - sourcing,4952
1481,human resources assistant - sourcing,4942
1483,zupervisor* for establishments,12364
1485,acumatica specialist,265
1486,business application consultant,1339
1492,security delivery associate,9187
1493,conformance analyst,2048
1494,junior service engineer,5866
1495,rail service technician,8291
1498,network operations center engineer,6794
1499,provisioning specialist,8087
1501,test engineering team lead/consultant,11759
1502,software quality assurance engineer,10457
1503,transaction premium reconciliation analyst,11893
1505,brand activation manager,1235
1506,intern- iss,5344
1510,procurement contractor exchange operations lead,7630
1511,resource management subcontractor endorsement team lead,8728
1512,resource management team processor,8729
1514,licensed financial consultant,6132
1515,disease surveillance officer,3099
1516,personnel assistant,7295
1519,guidance counselor and psychometrician intern,4123
1520,recuiting analyst,8498
1521,associate specialist,935
1522,mid recruiter,6680
1523,technical support staff,11626
1524,customer care representative,2473
1525,recruiment assistant,8330
1533,junior programmer,5854
1537,design and development intern,2936
1538,associate team head for creatives & technical,941
1542,hr sourcing analyst,4760
1543,hr sourcing associate - employee referral program,4763
1544,hr sourcing assistant - account owner,4761
1546,talent acquisition/ recruitment intern,11230
1547,hr delivery specialist,4567
1548,project leader ii / senior recruitment specialist,7966
1550,talent supply and demand,11270
1551,talent acquisition group- associate manager,11196
1552,"global business services- talent acquistion, sr analyst",3914
1553,"supervisor, talent acquisition l volume hiring",10966
1554,"professional & leadership talent acquisition (support, non-operations)- senior recruiter i",7803
1555,multilingual hiring- senior recruiter,6742
1556,"corporate recruitment (operations, non-agent hiring) - senior recruiter ",2272
1557,hr specialist (people engagement and development),4765
1558,hr specialist (recruitment),4766
1559,senior recruitment associate ,9864
1560,associate recruitment,918
1561,psychometrician,8094
1562,telemarketing associate,11711
1564,information technology technical support,5211
1567,accounting team lead,190
1569,senior expert order to cash- collections and dispute mangement,9479
1570,expert order to cash- collections and dispute mangement,3477
1571,expert projects order to cash- end to end process,3480
1572,expert order to cash- order management,3478
1573,expert projects order to cash- credit collections and dispute management,3479
1574,expert order to cash- accounts receivable management,3476
1575,associate/language expert order to cash- accounts receivable management,971
1577,forex account manager,3748
1578,multilingual voice analyst and masterfile (malaysia),6745
1580,hr service delivery associates,4735
1581,hr recruiter,4698
1584,web application developer,12227
1585,"it, audio and video production, operation clerk",5644
1586,customer support it helpdesk,2677
1588,lean six sigma black belt,6052
1589,group lead- telecom account,4089
1590,recruitment associate (sme conversion media/erp),8409
1591,recruitment sourcing associate vendor management,8476
1592,recruitment sourcing associate (accenture outsourced manpower from bravissimo),8475
1593,country talent supply chain lead,2334
1594,technology talent supply chain lead,11699
1595,human resources service excellence lead,5019
1596,aapac and japan hub program management lead,36
1597,global careers program business operations lead,3915
1598,avanade cebu growth lead,1069
1599,accenture methods and tools global delivery lead,43
1600,avanade collaboration service line growth lead,1070
1601,avanade director of delivery,1071
1602,information technology professional,5195
1604,configuration analyst,2047
1608,design & creative services - virtual assistant,2933
1609,virtual assistant and graphic artist,12152
1610,senior document analyst/xml formatter,9458
1611,freelance graphic designer,3787
1612,computer programmer,2031
1613,web design intern,12237
1614,computer operator,2028
1617,it service desk analyst,5593
1618,it desktop engineer,5498
1621,human resources recruitment manager,5006
1622,talent acquisition associate manager,11187
1624,master coach,6546
1626,talent acqusition associate,11231
1628,financial service representative,3676
1637,managing director,6401
1638,"chief operations officer, it delivery centers, asia",1741
1639,"hr partner, regional office",4652
1640,"hr partner, global resourcing",4651
1641,"director, human resources",3081
1642,"country manager, philippines",2331
1643,"associate director, human resources",850
1644,"senior manager, corporate recruitment",9671
1649,escalation specialist ,3366
1650,service implementation order manager,10206
1651, service order specialist,10
1653,business support services and talent acquisition manager,1477
1654,office of the strategy management – associate manager ,6874
1655, recruitment sr. analyst - sourcing for technology and bpo,8
1656,recruitment analyst - candidate management for technology and bpo ,8385
1657,team lead - program control services (project management),11334
1658,hr assistant - hr employee engagement and accenture community ,4475
1659,hr and admin assistant - hr employee relations and administration ,4459
1660,"outbound call center agent - city financial, infinite credit card and crosscheck ",7154
1661,hr recruitment assistant ,4705
1669,hr consultant,4556
1671,recruitment capability building senior analyst,8420
1672,learning and development manager,6071
1673,talent acquisition and employee engagement manager,11179
1675,hr and finance department intern,4462
1676,content moderator,2124
1677,cruise ship singer/musician,2427
1678,passenger service agent/ground attendant,7222
1679,performer,7288
1680,artist,575
1682,operations analyst,6975
1684,planning intern,7359
1686,pre-employment coordinator,7442
1688,software engineer senior analyst,10427
